Cross_ID,Cross_Type,Sample_ID,Dam_Weight_g,Dam_Body_mm,Dam_Just_body,Dam_Tail_mm,Dam_Foot_mm,Dam_Ear_mm,Embryo_weight_g,Placenta_Weight_g,Side_of_Repro,TS,day,sex,N_in_litter,Experiment
LL.WW10,LL.WW,M445,23.0583,152.7,82.57,70.13,17.02,9.9,1.0222,0.1016,R,25,17,F,5,dom
LL.WW10,LL.WW,M446,23.0583,152.7,82.57,70.13,17.02,9.9,0.9218,0.0849,L,25,17,M,5,dom
LL.WW10,LL.WW,M447,23.0583,152.7,82.57,70.13,17.02,9.9,0.8989,0.0892,L,25,17,F,5,dom
LL.WW10,LL.WW,M448,23.0583,152.7,82.57,70.13,17.02,9.9,0.7951,0.0853,L,25,17,M,5,dom
LL.WW11,LL.WW,M502,28.4693,154.08,86.85,67.23,15.2,9.96,0.6352,0.0985,R,24,16,F,7,dom
LL.WW11,LL.WW,M503,28.4693,154.08,86.85,67.23,15.2,9.96,0.6492,0.0861,R,24,16,M,7,dom
LL.WW11,LL.WW,M504,28.4693,154.08,86.85,67.23,15.2,9.96,0.6422,0.1023,R,24,16,M,7,dom
LL.WW11,LL.WW,M505,28.4693,154.08,86.85,67.23,15.2,9.96,0.6364,0.0999,R,24,16,M,7,dom
LL.WW11,LL.WW,M506,28.4693,154.08,86.85,67.23,15.2,9.96,0.5306,0.0854,L,24,16,M,7,dom
LL.WW11,LL.WW,M507,28.4693,154.08,86.85,67.23,15.2,9.96,0.5804,0.0777,L,24,16,F,7,dom
LL.WW11,LL.WW,M508,28.4693,154.08,86.85,67.23,15.2,9.96,0.5363,0.0917,L,24,16,M,7,dom
LL.WW13,LL.WW,M669,21.733,144.49,76.95,67.54,18.09,9.55,0.7518,0.1067,R,24,16,M,6,dom
LL.WW13,LL.WW,M670,21.733,144.49,76.95,67.54,18.09,9.55,0.7883,0.079,R,24,16,M,6,dom
LL.WW13,LL.WW,M671,21.733,144.49,76.95,67.54,18.09,9.55,0.7232,0.0833,R,24,16,M,6,dom
LL.WW13,LL.WW,M672,21.733,144.49,76.95,67.54,18.09,9.55,0.6859,0.0874,L,24,16,M,6,dom
LL.WW13,LL.WW,M673,21.733,144.49,76.95,67.54,18.09,9.55,0.6417,0.0802,L,24,16,F,6,dom
LL.WW13,LL.WW,M674,21.733,144.49,76.95,67.54,18.09,9.55,0.6867,0.0807,L,24,16,F,6,dom
LL.WW14,LL.WW,M663,22.775,147.19,80.41,66.78,16.36,11.14,0.6769,0.1056,R,24,16,M,6,dom
LL.WW14,LL.WW,M664,22.775,147.19,80.41,66.78,16.36,11.14,0.6216,0.0934,R,24,16,F,6,dom
LL.WW14,LL.WW,M665,22.775,147.19,80.41,66.78,16.36,11.14,0.7184,0.083,R,24,16,M,6,dom
LL.WW14,LL.WW,M666,22.775,147.19,80.41,66.78,16.36,11.14,0.5715,0.0787,L,24,16,F,6,dom
LL.WW14,LL.WW,M667,22.775,147.19,80.41,66.78,16.36,11.14,0.6303,0.0738,L,24,16,F,6,dom
LL.WW14,LL.WW,M668,22.775,147.19,80.41,66.78,16.36,11.14,0.5988,0.0762,L,24,16,M,6,dom
LL.WW15,LL.WW,M717,24.0669,151.09,82.56,68.53,17.68,10.5,0.9637,0.0939,R,25,16.5,F,5,dom
LL.WW15,LL.WW,M718,24.0669,151.09,82.56,68.53,17.68,10.5,0.8405,0.0949,R,25,16.5,M,5,dom
LL.WW15,LL.WW,M719,24.0669,151.09,82.56,68.53,17.68,10.5,1.01,0.0954,R,25,16.5,M,5,dom
LL.WW6,LL.WW,M90,21.0369,143.79,79.09,64.7,16.96,10.55,1.4245,0.0892,R,26,18,F,5,dom
LL.WW6,LL.WW,M91,21.0369,143.79,79.09,64.7,16.96,10.55,1.1519,0.057,R,26,18,M,5,dom
LL.WW6,LL.WW,M92,21.0369,143.79,79.09,64.7,16.96,10.55,1.1602,0.0643,R,26,18,F,5,dom
LL.WW6,LL.WW,M93,21.0369,143.79,79.09,64.7,16.96,10.55,1.4439,0.0743,L,26,18,M,5,dom
LL.WW6,LL.WW,M94,21.0369,143.79,79.09,64.7,16.96,10.55,1.14918,0.0915,L,26,18,F,5,dom
LL.WW7,LL.WW,M84,20.5983,140.7,72.53,68.17,16.07,11.13,0.6217,0.0959,R,24,16,M,6,dom
LL.WW7,LL.WW,M85,20.5983,140.7,72.53,68.17,16.07,11.13,0.5301,0.0804,R,24,16,M,6,dom
LL.WW7,LL.WW,M86,20.5983,140.7,72.53,68.17,16.07,11.13,0.5335,0.0793,R,24,16,F,6,dom
LL.WW7,LL.WW,M87,20.5983,140.7,72.53,68.17,16.07,11.13,0.5779,0.0968,L,24,16,M,6,dom
LL.WW7,LL.WW,M88,20.5983,140.7,72.53,68.17,16.07,11.13,0.6461,0.0988,L,24,16,F,6,dom
LL.WW7,LL.WW,M89,20.5983,140.7,72.53,68.17,16.07,11.13,0.5681,0.0835,L,24,16,F,6,dom
LL.WW8,LL.WW,M100,27.0341,82.65,82.65,0,17.98,12.06,0.6433,0.098,L,24,16,M,6,dom
LL.WW8,LL.WW,M95,27.0341,82.65,82.65,0,17.98,12.06,0.6106,0.1046,R,24,16,F,6,dom
